,student_country,onboard_flag,totaldays_engaged,tendaysafter,conversion
86,SA,1,1,0,0
87,GB,1,1,1,0
88,SA,0,0,0,0
89,RU,1,1,1,0
90,EG,0,0,0,0
91,MX,1,3,2,0
92,AE,1,1,25,0
93,US,1,1,62,0
94,EG,1,1,11,0
95,BR,0,0,0,0
96,AR,1,1,0,0
97,IN,0,0,0,0
98,SA,0,0,0,0
99,IN,0,0,0,0
100,SA,0,0,0,0
101,NG,1,2,19,0
102,US,1,1,9,0
103,SA,1,6,200,0
104,NG,1,1,4,0
105,EG,1,9,95,0
106,EG,1,1,0,0
107,US,1,10,367,1
108,US,0,0,0,0
109,EG,1,1,7,0
110,SA,0,0,0,0
111,IN,1,3,16,0
112,US,1,41,359,1
113,LK,1,1,3,0
114,SA,1,3,7,0
115,CA,1,9,0,1
116,US,1,1,7,0
117,DE,0,0,0,0
118,PH,1,1,65,0
119,SA,0,0,0,0
120,US,1,15,159,1
121,EG,1,9,36,0
122,ID,1,1,7,0
123,SA,0,0,0,0
124,IN,1,2,5,0
125,SA,0,0,0,0
126,US,1,2,0,0
127,SA,1,13,0,1
128,SA,1,13,0,1
129,SA,0,0,0,0
130,SA,0,0,0,0
131,US,1,2,2,0
132,US,0,0,0,0
133,US,0,0,0,0
134,IN,1,2,26,0
135,SD,0,0,0,0
136,IN,0,0,0,0
137,US,1,1,11,0
138,DE,1,2,4,0
139,SA,0,0,0,0
140,NG,0,0,0,0
141,IN,0,0,0,0
142,VN,0,0,0,0
143,IN,0,0,0,0
144,US,0,0,0,0
145,IN,1,1,0,0
146,IN,0,0,0,0
147,IN,0,0,0,0
148,IN,0,0,0,0
149,EG,1,7,13,0
150,PL,0,0,0,0
151,ID,0,0,0,0
152,IQ,1,1,3,0
153,AE,1,13,259,1
154,IN,1,17,0,1
155,IN,1,17,0,1
156,IN,1,17,0,1
157,IN,1,17,0,1
158,ZA,1,1,4,0
159,TJ,0,0,0,0
160,IN,1,1,0,0
161,CN,1,1,3,0
162,IN,0,0,0,0
163,EG,1,1,0,0
164,SA,0,0,0,0
165,TR,0,0,0,0
166,IN,1,1,2,0
167,GB,0,0,0,0
168,NL,1,1,3,0
169,AE,0,0,0,0
170,US,1,1,5,0
171,GM,1,1,34,0
172,IL,1,20,137,1
173,US,1,1,20,0
174,SA,1,1,21,0
175,US,0,0,0,0
176,IN,0,0,0,0
177,IN,0,0,0,0
178,IN,0,0,0,0
179,SA,1,2,2,0
180,MX,1,11,173,1
181,TR,0,0,0,0
182,TH,1,1,0,0
183,AE,0,0,0,0
184,DE,1,19,248,1
185,MX,0,0,0,0
186,RU,0,0,0,0
187,ES,1,1,0,0
188,PK,0,0,0,0
189,IN,1,1,0,0
190,DE,0,0,0,0
191,MA,1,1,6,0
192,US,0,0,0,0
193,SA,1,1,0,0
194,GB,1,3,95,0
195,PK,0,0,0,0
196,SA,1,3,24,0
197,NG,1,1,8,0
198,SA,1,1,0,0
199,IN,1,1,0,0
200,SA,1,3,57,0
201,AE,1,2,8,0
202,SA,1,3,52,0
203,MA,0,0,0,0
204,TZ,0,0,0,0
205,TR,1,4,0,0
206,CA,0,0,0,0
207,IN,0,0,0,0
208,US,1,1,1,0
209,SA,0,0,0,0
210,SA,0,0,0,0
211,GB,1,51,105,0
212,SA,1,3,62,0
213,SA,0,0,0,0
214,FR,1,1,2,0
215,SA,1,6,142,0
216,DE,0,0,0,0
217,EG,1,1,1,0
218,IN,1,1,1,0
219,PK,1,13,0,0
220,UA,1,1,6,0
221,IN,0,0,0,0
222,SA,1,1,1,0
223,QA,0,0,0,0
224,EG,1,2,27,0
225,GB,1,1,2,0
226,GB,1,29,115,1
227,GB,1,29,115,1
228,GB,1,29,115,1
229,GB,1,29,115,1
230,GB,1,29,115,1
231,US,0,0,0,0
232,SA,1,7,120,1
233,MA,1,1,10,0
234,EG,0,0,0,0
235,IT,0,0,0,0
236,MY,1,1,0,0
237,EG,1,1,3,0
238,NG,1,4,16,0
239,IQ,1,1,1,0
240,EG,1,1,0,0
241,CA,0,0,0,0
242,GH,0,0,0,0
243,US,1,14,236,1
244,US,1,14,236,1
245,US,1,14,236,1
246,US,1,14,236,1
247,US,1,14,236,1
248,EG,1,1,0,0
249,CA,1,1,0,0
250,EG,1,5,0,0
251,CO,1,2,11,0
252,MA,0,0,0,0
253,AT,1,1,0,0
254,PK,1,1,0,0
255,CA,1,2,27,0
256,FI,1,1,1,0
257,CM,0,0,0,0
258,RU,0,0,0,0
259,US,1,1,0,0
260,GT,0,0,0,0
261,FR,0,0,0,0
262,US,1,5,0,1
263,IN,1,1,2,0
264,CA,1,1,0,0
265,IN,1,1,8,0
266,BR,1,1,1,0
267,AU,1,1,4,0
268,US,1,3,30,0
269,MA,0,0,0,0
270,US,1,1,10,0
271,US,1,1,5,0
272,HK,0,0,0,0
273,IN,1,1,0,0
274,SE,0,0,0,0
275,SG,1,1,60,0
276,SA,1,2,47,0
277,SN,1,1,1,0
278,US,1,19,0,1
279,GT,1,2,54,0
280,SA,1,1,2,0
281,HK,0,0,0,0
282,IN,0,0,0,0
283,IN,0,0,0,0
284,EG,0,0,0,0
285,IN,1,1,10,0
286,SA,1,1,1,0
287,IN,1,1,0,0
288,NG,1,3,146,0
289,ID,0,0,0,0
290,IN,0,0,0,0
291,TZ,0,0,0,0
292,OM,1,2,1,0
293,IN,1,1,1,0
294,IN,1,1,5,0
295,IN,1,5,86,0
296,IN,0,0,0,0
297,IN,1,1,10,0
298,CN,0,0,0,0
299,VN,0,0,0,0
300,EG,1,2,99,0
301,IN,0,0,0,0
302,IN,1,1,0,0
303,IN,0,0,0,0
304,HU,1,1,12,0
305,IN,1,2,0,0
306,US,1,1,1,0
307,LB,0,0,0,0
308,AU,1,2,2,0
309,PK,1,1,0,0
310,IN,1,1,14,0
311,MA,1,1,1,0
312,KE,1,7,0,0
313,GB,1,75,550,1
314,BD,0,0,0,0
315,IN,1,4,3,0
316,DZ,0,0,0,0
317,US,1,3,69,0
318,IN,0,0,0,0
319,IN,0,0,0,0
320,MA,1,1,0,0
321,SO,1,1,2,0
322,NG,1,1,1,0
323,BE,1,1,38,0
324,BW,0,0,0,0
325,ZA,1,4,98,0
326,US,0,0,0,0
327,IN,0,0,0,0
328,IN,1,2,60,0
329,NG,0,0,0,0
330,IN,1,3,42,0
331,DZ,0,0,0,0
332,IN,1,1,6,0
333,RW,1,1,5,0
334,US,1,1,2,0
335,IN,0,0,0,0
336,US,0,0,0,0
337,IL,0,0,0,0
338,AZ,1,3,2,0
339,RW,1,1,2,0
340,SE,1,1,14,0
341,US,0,0,0,0
342,EG,0,0,0,0
343,CA,1,1,6,0
344,GH,1,1,13,0
345,US,0,0,0,0
346,LT,0,0,0,0
347,US,0,0,0,0
348,US,0,0,0,0
349,PK,1,2,24,0
350,KZ,1,1,3,0
351,AZ,1,1,0,0
352,IN,1,1,3,0
353,NG,0,0,0,0
354,MA,1,1,38,0
355,NL,1,1,0,0
356,US,0,0,0,0
357,TN,1,2,11,0
358,NG,0,0,0,0
359,NG,0,0,0,0
360,US,1,7,378,0
361,EG,1,1,2,0
362,NL,0,0,0,0
363,EG,1,1,0,0
364,EG,0,0,0,0
365,ZW,1,1,0,0
366,US,0,0,0,0
367,CR,0,0,0,0
368,SA,0,0,0,0
369,EG,1,1,1,0
370,JM,1,1,0,0
371,IN,1,1,0,0
372,RW,1,2,10,0
373,IN,0,0,0,0
374,US,0,0,0,0
375,US,1,1,1,0
376,US,1,7,95,1
377,IN,1,1,7,0
378,IN,0,0,0,0
379,CA,1,98,337,1
380,JP,0,0,0,0
381,CA,0,0,0,0
382,TT,0,0,0,0
383,IN,1,3,7,0
384,IN,1,4,42,0
385,IN,1,1,0,0
386,US,0,0,0,0
387,IN,1,2,2,0
388,IN,1,1,0,0
389,CO,0,0,0,0
390,CA,0,0,0,0
391,ID,1,2,10,0
392,IN,1,1,4,0
393,IN,0,0,0,0
394,US,1,2,1,1
395,AR,1,1,1,0
396,ES,1,1,0,0
397,IN,0,0,0,0
398,EG,0,0,0,0
399,PK,1,1,32,0
400,CA,1,1,3,0
401,IN,1,7,12,0
402,IN,1,1,19,0
403,IN,0,0,0,0
404,IN,1,1,0,0
405,TR,0,0,0,0
406,NG,1,2,16,0
407,EG,1,1,0,0
408,PK,1,2,10,0
409,IN,0,0,0,0
410,IN,1,2,1,0
411,NG,0,0,0,0
412,ES,1,6,233,1
413,CA,1,2,44,0
414,PH,1,4,45,0
415,US,0,0,0,0
416,AU,1,1,1,0
417,VN,1,1,0,0
418,ZA,0,0,0,0
419,NG,0,0,0,0
420,IN,1,1,8,0
421,IN,0,0,0,0
422,IN,0,0,0,0
423,EG,0,0,0,0
424,GB,0,0,0,0
425,IN,1,1,0,0
426,BD,1,1,1,0
427,IQ,0,0,0,0
428,KE,1,1,1,0
429,MU,1,2,0,0
430,IN,0,0,0,0
431,TN,0,0,0,0
432,IN,1,4,2,0
433,KZ,0,0,0,0
434,US,1,1,0,0
435,SK,1,1,0,0
436,NZ,1,1,69,0
437,EG,0,0,0,0
438,IN,0,0,0,0
439,US,0,0,0,0
440,IN,0,0,0,0
441,IL,0,0,0,0
442,BD,1,2,51,0
443,SG,1,2,3,0
444,IN,0,0,0,0
445,AR,1,1,9,0
446,IN,0,0,0,0
447,EG,1,1,110,0
448,IN,0,0,0,0
449,US,1,1,31,0
450,AE,1,3,75,0
451,EG,0,0,0,0
452,CY,0,0,0,0
453,IN,1,1,6,0
454,FR,0,0,0,0
455,BB,0,0,0,0
456,IN,0,0,0,0
457,EG,1,4,0,0
458,VN,0,0,0,0
459,IN,0,0,0,0
460,IN,1,1,0,0
461,US,1,44,406,1
462,US,1,44,406,1
463,US,1,44,406,1
464,US,1,44,406,1
465,US,1,44,406,1
466,US,1,44,406,1
467,US,1,44,406,1
468,US,1,44,406,1
469,US,1,44,406,1
470,US,1,44,406,1
471,EG,0,0,0,0
472,GB,1,5,65,1
473,NL,1,2,17,0
474,US,1,43,13,1
475,NG,0,0,0,0
476,NO,1,2,64,0
477,IN,0,0,0,0
478,EG,1,1,11,0
479,GB,1,1,12,0
480,SE,1,20,836,1
481,UZ,1,2,24,0
482,IN,0,0,0,0
483,NL,1,2,10,0
484,AR,0,0,0,0
485,US,1,2,28,1
486,US,1,1,1,0
487,BR,1,1,0,0
488,US,1,1,19,0
489,IE,0,0,0,0
490,SA,1,2,16,0
491,NG,0,0,0,0
492,IN,0,0,0,0
493,IE,0,0,0,0
494,AU,1,103,322,1
495,AU,1,103,322,1
496,AU,1,103,322,1
497,ID,1,3,144,0
498,US,0,0,0,0
499,IN,1,1,1,0
500,US,0,0,0,0
501,US,0,0,0,0
502,IN,1,1,35,0
503,GB,0,0,0,0
504,AE,0,0,0,0
505,AR,0,0,0,0
506,CA,0,0,0,0
507,US,0,0,0,0
508,US,0,0,0,0
509,US,0,0,0,0
510,UZ,1,5,239,0
511,NG,1,1,2,0
512,US,1,1,7,0
513,CA,1,25,98,1
514,AR,0,0,0,0
515,EG,0,0,0,0
516,HN,0,0,0,0
517,EG,0,0,0,0
518,GB,1,16,352,1
519,GB,1,16,352,1
520,SG,1,1,0,0
521,AU,1,2,3,0
522,KE,0,0,0,0
523,JP,0,0,0,0
524,CA,0,0,0,0
525,US,1,1,0,0
526,IN,0,0,0,0
527,EG,0,0,0,0
528,AM,0,0,0,0
529,MY,1,1,1,0
530,US,1,1,0,0
531,KE,1,3,25,0
532,US,1,1,102,0
533,KR,1,1,0,0
534,US,0,0,0,0
535,IN,0,0,0,0
536,PK,1,1,44,0
537,KE,0,0,0,0
538,CA,0,0,0,0
539,IN,1,1,0,0
540,IN,1,1,3,0
541,IL,0,0,0,0
542,BD,1,2,63,0
543,IN,1,2,1,0
544,QA,0,0,0,0
545,IN,0,0,0,0
546,EG,0,0,0,0
547,NL,1,1,15,0
548,NZ,0,0,0,0
549,EG,0,0,0,0
550,EG,0,0,0,0
551,IN,1,1,0,0
552,EG,0,0,0,0
553,IN,0,0,0,0
554,IN,0,0,0,0
555,US,0,0,0,0
556,IL,0,0,0,0
557,NG,1,1,0,0
558,US,1,1,9,0
559,CI,1,1,13,0
560,AU,0,0,0,0
561,SG,0,0,0,0
562,SA,0,0,0,0
563,IN,1,1,0,0
564,MY,1,5,0,0
565,IN,1,2,2,0
566,ZA,0,0,0,0
567,SA,0,0,0,0
568,US,1,3,72,0
569,EG,1,1,0,0
570,IT,1,2,8,0
571,ID,0,0,0,0
572,DZ,0,0,0,0
573,TR,0,0,0,0
574,JP,1,1,3,0
575,DE,1,6,0,1
576,DZ,0,0,0,0
577,IN,0,0,0,0
578,MZ,1,4,42,0
579,IN,1,1,0,0
580,IN,1,2,68,0
581,IN,0,0,0,0
582,IN,0,0,0,0
583,BR,0,0,0,0
584,IN,1,1,0,0
585,PK,1,1,2,0
586,IN,0,0,0,0
587,SA,1,1,0,0
588,VN,0,0,0,0
589,AR,0,0,0,0
590,GB,0,0,0,0
591,US,1,2,26,0
592,PL,1,1,0,0
593,SA,0,0,0,0
594,FR,0,0,0,0
595,IN,1,1,1,0
596,US,1,4,0,0
597,NG,1,3,13,0
598,US,1,1,2,0
599,JP,1,1,0,0
600,EG,1,1,0,0
601,BD,1,1,0,0
602,NG,0,0,0,0
603,VN,1,2,37,0
604,BW,0,0,0,0
605,NG,0,0,0,0
606,ET,1,7,5,0
607,IT,0,0,0,0
608,US,1,3,7,0
609,IN,0,0,0,0
610,IN,0,0,0,0
611,US,1,6,312,0
612,US,0,0,0,0
613,EG,1,1,24,0
614,US,1,2,65,0
615,EG,1,4,0,0
616,DZ,1,1,0,0
617,PT,0,0,0,0
618,IN,0,0,0,0
619,US,0,0,0,0
620,US,1,1,2,0
621,IN,1,7,279,1
622,IN,1,7,279,1
623,IN,1,7,279,1
624,FR,0,0,0,0
625,US,1,1,12,0
626,GB,0,0,0,0
627,US,1,2,14,0
628,ZA,0,0,0,0
629,IT,0,0,0,0
630,NZ,0,0,0,0
631,NG,0,0,0,0
632,EG,1,5,2,0
633,US,0,0,0,0
634,US,0,0,0,0
635,US,1,1,0,0
636,IN,1,2,2,0
637,US,0,0,0,0
638,CO,1,2,1,0
639,IN,0,0,0,0
640,CA,1,3,19,0
641,AE,1,11,101,0
642,NP,0,0,0,0
643,KR,1,60,20,1
644,CA,0,0,0,0
645,US,0,0,0,0
646,CR,0,0,0,0
647,ID,1,1,11,0
648,NP,0,0,0,0
649,AU,1,2,43,0
650,IN,1,3,63,0
651,GB,1,6,55,1
652,HK,0,0,0,0
653,PR,0,0,0,0
654,ID,1,1,4,0
655,US,1,2,18,0
656,CA,1,1,4,0
657,AU,1,1,0,0
658,MY,0,0,0,0
659,US,1,2,92,0
660,US,1,1,28,0
661,JP,1,3,200,1
662,IN,0,0,0,0
663,IN,0,0,0,0
664,BY,0,0,0,0
665,IN,1,2,50,0
666,NG,1,1,0,0
667,AZ,0,0,0,0
668,IN,1,4,0,0
669,VN,1,1,0,0
670,KH,1,1,15,0
671,US,1,1,0,0
672,IN,1,1,1,0
673,IN,1,4,1,0
674,AE,0,0,0,0
675,NP,1,2,57,0
676,EG,1,1,0,0
677,KE,1,1,27,1
678,IN,1,1,32,0
679,TH,0,0,0,0
680,IN,0,0,0,0
681,EG,0,0,0,0
682,BR,0,0,0,0
683,TH,0,0,0,0
684,IN,0,0,0,0
685,IN,0,0,0,0
686,GB,1,6,36,1
687,IE,1,9,0,0
688,SN,0,0,0,0
689,NL,1,6,91,1
690,TN,1,1,1,0
691,SA,1,2,26,0
692,SN,0,0,0,0
693,IN,1,1,0,0
694,IN,0,0,0,0
695,NL,1,5,429,0
696,BD,1,19,11,1
697,IN,1,1,0,0
698,IL,1,1,0,0
699,CA,1,5,10,1
700,GB,1,2,74,0
701,PL,1,1,1,0
702,IN,1,1,45,0
703,BR,1,1,1,0
704,IN,1,3,0,1
705,NG,0,0,0,0
706,AE,1,16,0,1
707,RU,0,0,0,0
708,CN,1,1,2,0
709,SO,1,1,5,0
710,DZ,0,0,0,0
711,IN,0,0,0,0
712,TN,0,0,0,0
713,IN,1,1,0,0
714,US,0,0,0,0
715,VN,1,2,7,0
716,DE,1,50,502,1
717,DE,1,50,502,1
718,IN,0,0,0,0
719,CA,1,15,238,1
720,IN,1,1,0,0
721,CA,0,0,0,0
722,IN,0,0,0,0
723,US,1,13,204,1
724,US,1,13,204,1
725,EG,0,0,0,0
726,IN,0,0,0,0
727,TN,1,1,10,0
728,US,0,0,0,0
729,US,1,1,2,0
730,DE,0,0,0,0
731,CO,1,1,2,0
732,GB,1,5,7,0
733,IN,1,5,82,0
734,DZ,1,1,3,0
735,BR,0,0,0,0
736,EG,0,0,0,0
737,US,1,12,35,1
738,US,1,51,42,1
739,SD,1,1,8,0
740,EG,0,0,0,0
741,BR,0,0,0,0
742,PK,1,1,0,0
743,TR,1,1,0,0
744,EG,1,1,0,0
745,EG,0,0,0,0
746,US,0,0,0,0
747,US,1,25,62,1
748,US,1,2,1,1
749,US,1,2,1,1
750,US,1,2,1,1
751,DE,1,1,0,0
752,EG,1,1,0,0
753,IT,1,1,1,0
754,US,1,1,2,0
755,PL,0,0,0,0
756,GB,0,0,0,0
757,US,1,1,0,0
758,MY,0,0,0,0
759,ZW,0,0,0,0
760,EG,0,0,0,0
761,CA,1,2,22,0
762,CA,0,0,0,0
763,IN,1,1,13,0
764,US,1,1,39,0
765,AU,1,15,59,1
766,IN,0,0,0,0
767,UZ,0,0,0,0
768,KE,0,0,0,0
769,NG,0,0,0,0
770,NG,0,0,0,0
771,IN,0,0,0,0
772,IN,1,1,17,0
773,GB,1,1,0,0
774,NP,1,1,7,0
775,TG,1,1,2,0
776,NL,1,2,17,0
777,IN,0,0,0,0
778,TH,0,0,0,0
779,IN,1,1,10,0
780,DE,1,1,5,0
781,IN,0,0,0,0
782,EG,1,1,1,0
783,US,1,10,0,0
784,PT,0,0,0,0
785,UZ,1,1,4,0
786,IN,0,0,0,0
787,NG,1,1,17,0
788,BD,1,1,13,0
789,KE,1,3,20,0
790,IN,1,2,62,0
791,PK,0,0,0,0
792,KE,1,1,1,0
793,NG,0,0,0,0
794,EG,1,1,0,0
795,BE,0,0,0,0
796,IN,1,2,21,0
797,PE,1,1,0,0
798,AF,0,0,0,0
799,EG,0,0,0,0
800,EG,0,0,0,0
801,GE,0,0,0,0
802,TR,1,1,0,0
803,EG,0,0,0,0
804,GB,1,1,0,0
805,VN,1,4,118,0
806,EG,0,0,0,0
807,DE,0,0,0,0
808,EG,1,1,0,0
809,US,0,0,0,0
810,EG,0,0,0,0
811,IN,1,1,2,0
812,EG,0,0,0,0
813,IN,0,0,0,0
814,EG,0,0,0,0
815,IN,1,3,73,0
816,IN,1,1,2,0
817,ID,1,1,14,0
818,SA,0,0,0,0
819,IN,0,0,0,0
820,EG,1,2,2,0
821,JP,1,1,2,0
822,BR,1,1,0,0
823,SA,0,0,0,0
824,IL,1,1,0,0
825,IN,1,2,7,0
826,EG,0,0,0,0
827,US,1,1,23,0
828,US,1,10,69,1
829,SA,0,0,0,0
830,EG,0,0,0,0
831,MA,0,0,0,0
832,DZ,0,0,0,0
833,UA,1,1,1,0
834,IN,1,4,0,0
835,IN,0,0,0,0
836,IN,1,2,83,0
837,CA,1,1,8,0
838,IN,1,2,14,0
839,EG,0,0,0,0
840,PK,0,0,0,0
841,EG,0,0,0,0
842,SA,0,0,0,0
843,EG,0,0,0,0
844,AZ,1,1,0,0
845,DE,0,0,0,0
846,TN,0,0,0,0
847,IN,0,0,0,0
848,SN,1,2,43,0
849,US,1,2,42,1
850,GB,0,0,0,0
851,PT,0,0,0,0
852,US,1,1,4,0
853,EG,0,0,0,0
854,US,1,2,22,0
855,IN,0,0,0,0
856,US,1,1,0,0
857,DZ,0,0,0,0
858,PK,1,1,2,0
859,DJ,1,1,4,0
860,US,0,0,0,0
861,US,0,0,0,0
862,EG,0,0,0,0
863,US,0,0,0,0
864,AR,0,0,0,0
865,FR,0,0,0,0
866,US,1,2,70,0
867,AZ,0,0,0,0
868,BE,1,15,40,0
869,SA,1,2,24,0
870,LB,0,0,0,0
871,GH,1,65,912,1
872,EG,1,1,22,0
873,EG,0,0,0,0
874,DJ,0,0,0,0
875,GH,1,1,7,0
876,IN,0,0,0,0
877,US,1,5,201,1
878,US,0,0,0,0
879,VN,1,1,0,0
880,SD,0,0,0,0
881,IN,1,1,2,0
882,EG,0,0,0,0
883,IN,1,1,1,0
884,IN,0,0,0,0
885,IN,1,1,2,0
886,IN,0,0,0,0
887,IN,0,0,0,0
888,JO,0,0,0,0
889,US,1,1,6,0
890,TH,0,0,0,0
891,US,1,1,20,0
892,SA,1,1,0,0
893,IN,1,2,0,0
894,IN,0,0,0,0
895,AU,1,1,69,0
896,GB,1,1,0,0
897,AU,1,12,6,1
898,NL,1,1,46,0
899,TH,0,0,0,0
900,MY,0,0,0,0
901,IN,1,1,0,0
902,SA,1,2,15,1
903,SA,1,2,15,1
904,IN,0,0,0,0
905,SA,0,0,0,0
906,IN,1,1,31,0
907,EG,0,0,0,0
908,IN,0,0,0,0
909,EG,1,2,24,0
910,CI,0,0,0,0
911,GH,1,1,20,0
912,IN,0,0,0,0
913,IN,0,0,0,0
914,IN,0,0,0,0
915,DE,1,11,190,1
916,DE,1,11,190,1
917,DE,1,11,190,1
918,DE,1,11,190,1
919,DE,1,11,190,1
920,DE,1,11,190,1
921,DE,1,11,190,1
922,DE,1,11,190,1
923,DE,1,11,190,1
924,DE,1,11,190,1
925,VN,1,1,9,0
926,DE,1,3,0,0
927,NG,1,1,0,0
928,NG,1,4,64,0
929,IN,0,0,0,0
930,EG,1,1,0,0
931,NG,0,0,0,0
932,US,1,1,1,0
933,EG,1,4,121,0
934,EG,1,1,9,0
935,IN,1,8,53,0
936,EG,0,0,0,0
937,IN,0,0,0,0
938,IN,0,0,0,0
939,VN,1,1,0,0
940,IN,0,0,0,0
941,EG,0,0,0,0
942,KE,0,0,0,0
943,EE,1,1,1,0
944,CA,1,2,7,0
945,GB,0,0,0,0
946,TN,1,1,2,0
947,GB,1,19,29,1
948,US,1,1,25,0
949,SL,1,1,16,0
950,EG,1,4,47,0
951,EG,1,11,50,1
952,NG,1,1,7,0
953,GH,0,0,0,0
954,IN,0,0,0,0
955,IN,0,0,0,0
956,EG,1,1,1,0
957,IN,1,1,0,0
958,MX,0,0,0,0
959,GB,1,3,61,0
960,SA,0,0,0,0
961,IN,0,0,0,0
962,TN,1,1,3,0
963,DZ,0,0,0,0
964,DE,1,2,13,0
965,US,1,2,56,0
966,EG,0,0,0,0
967,US,0,0,0,0
968,SA,1,1,2,0
969,US,1,1,0,0
970,CA,1,1,30,0
971,PL,0,0,0,0
972,GB,1,2,36,0
973,EG,1,1,1,0
974,EG,0,0,0,0
975,NG,1,1,4,0
976,CA,1,9,76,0
977,EG,0,0,0,0
978,BE,0,0,0,0
979,BD,1,1,1,0
980,GB,1,1,1,0
981,FR,1,6,44,0
982,ES,1,2,17,0
983,DE,1,1,3,0
984,DZ,0,0,0,0
985,EG,1,1,0,0
986,EG,1,1,34,0
987,AU,1,117,327,1
988,IN,1,1,11,0
989,EG,0,0,0,0
990,US,0,0,0,0
991,US,0,0,0,0
992,US,0,0,0,0
993,IN,0,0,0,0
994,IN,0,0,0,0
995,CA,0,0,0,0
996,IN,0,0,0,0
997,ID,1,14,394,1
998,ID,1,14,394,1
999,IN,0,0,0,0
1000,NP,1,1,1,0
1001,IN,0,0,0,0
1002,NG,1,12,2,1
1003,US,0,0,0,0
1004,SD,0,0,0,0
1005,SG,1,1,19,0
1006,IN,0,0,0,0
1007,CA,1,2,1,0
1008,KR,0,0,0,0
1009,IN,1,4,1,0
1010,IN,1,1,2,0
1011,EG,0,0,0,0
1012,OM,1,1,4,0
1013,GB,0,0,0,0
1014,EG,0,0,0,0
1015,US,1,2,64,0
1016,AU,1,1,16,0
1017,AZ,0,0,0,0
1018,BD,0,0,0,0
1019,EG,1,1,5,0
1020,IN,1,1,2,0
1021,NG,0,0,0,0
1022,TN,0,0,0,0
1023,EG,1,4,48,0
1024,GB,1,2,45,0
1025,AU,0,0,0,0
1026,GH,0,0,0,0
1027,JO,0,0,0,0
1028,GH,1,2,30,0
1029,US,1,1,9,0
1030,EG,0,0,0,0
1031,CA,0,0,0,0
1032,IN,0,0,0,0
1033,IN,0,0,0,0
1034,IN,1,3,88,0
1035,MU,1,1,2,0
1036,IN,1,3,10,0
1037,IN,1,1,19,0
1038,IN,1,3,0,0
1039,IT,0,0,0,0
1040,MA,0,0,0,0
1041,ZA,0,0,0,0
1042,TN,1,1,1,0
1043,BD,0,0,0,0
1044,IN,1,1,2,0
1045,IN,0,0,0,0
1046,IL,1,1,1,0
1047,IN,1,1,6,0
1048,MA,0,0,0,0
1049,EG,0,0,0,0
1050,NG,1,1,27,0
1051,IN,1,1,0,0
1052,ES,1,6,11,1
1053,EG,0,0,0,0
1054,IN,0,0,0,0
1055,IN,0,0,0,0
1056,US,1,1,27,0
1057,EG,0,0,0,0
1058,JE,1,1,33,0
1059,US,1,3,2,0
1060,EG,0,0,0,0
1061,MY,1,4,46,0
1062,US,0,0,0,0
1063,GH,0,0,0,0
1064,US,1,5,0,1
1065,EG,1,1,1,0
1066,NL,1,1,0,0
1067,NL,0,0,0,0
1068,KW,1,1,0,0
1069,EG,0,0,0,0
1070,EG,0,0,0,0
1071,JO,0,0,0,0
1072,CA,0,0,0,0
1073,GB,1,7,103,0
